Query,1,2,3,4,5,6,7,8,9,10
carnival0,carnival6,carnival15,carnival3,carnival2,carnival10,carnival9,carnival12,carnival11,carnival5,carnival16
carnival1,carnival4,carnival14,carnival5,carnival1,carnival7,carnival2,carnival12,carnival3,carnival13,carnival11
carnival2,carnival14,carnival11,carnival3,carnival2,carnival12,carnival6,carnival5,carnival15,carnival7,carnival1
carnival3,carnival6,carnival12,carnival3,carnival15,carnival9,carnival16,platform_9_potter4,carnival13,carnival14,carnival2
carnival4,carnival3,carnival2,carnival6,carnival11,carnival1,carnival5,karlsplatz4,distractor149,carnival12,karlsplatz8
church_albano0,church_albano4,church_albano8,church_albano9,church_albano2,church_albano1,church_albano10,distractor344,distractor288,trinity_college_library11,church_albano3
church_albano1,church_albano2,church_albano1,church_albano4,church_albano9,church_albano3,church_albano10,church_albano8,trinity_college_library11,distractor288,trinity_college_library3
church_albano2,church_albano1,church_albano4,church_albano2,church_albano9,church_albano10,church_albano3,church_albano8,distractor273,church_christ6,trinity_college_library8
church_albano3,church_albano2,church_albano3,church_albano4,church_albano1,church_albano10,church_albano9,church_albano7,church_albano8,trinity_college_library8,distractor19
church_albano4,church_albano2,church_albano3,church_albano1,church_albano4,church_albano9,church_albano10,church_albano8,church_christ6,trinity_college_library8,distractor273
church_christ0,church_christ8,church_christ5,church_christ6,church_christ10,church_christ13,church_christ4,church_christ7,distractor103,church_christ12,church_christ2
church_christ1,church_christ15,church_christ10,church_christ16,church_christ14,church_christ11,karlsplatz5,church_christ17,church_christ8,church_christ2,church_christ5
church_christ2,church_christ16,church_christ8,church_christ17,church_christ5,church_christ13,church_christ14,church_christ2,church_christ11,church_christ10,church_christ12
church_christ3,church_christ16,church_christ17,church_christ6,church_christ10,church_christ7,church_christ14,church_christ12,church_christ11,church_christ5,church_christ2
church_christ4,church_christ6,church_christ17,church_christ16,karlsplatz1,church_christ5,church_christ4,church_christ12,church_christ14,karlsplatz3,church_christ10
flues0,flues8,flues3,flues1,flues7,flues6,flues2,flues4,flues5,flues9,flues10
flues1,flues8,flues3,flues1,flues2,flues4,flues7,flues6,flues5,flues9,flues10
